table	column	description
gisaid_sequence	original_seq	The sequence from the dataset.
gisaid_sequence	aligned_seq	The sequence after alignment with our reference using mafft.
gisaid_sequence_mutation_nucleotide	strain	The strain as in gisaid_sequence.
gisaid_sequence_mutation_nucleotide	position	The position in the sequence as aligned as usual.
gisaid_sequence_mutation_nucleotide	mutation	The mutated base codon in the sequence. It has to be upper-case!
swiss_canton		Official canton codes and names in various languages according to p. 81 in https://www.bk.admin.ch/dam/bk/en/dokumente/sprachdienste/English%20Style%20Guide.pdf.download.pdf/english_style_guide.pdf
ext_swiss_demographic		"Demographic balance by age and canton (px-x-0102020000_104), provided by the Swiss Federal Statistical Office, https://www.pxweb.bfs.admin.ch/pxweb/en/px-x-0102020000_104/px-x-0102020000_104/px-x-0102020000_104.px, contains data between 2010 and 2019."
variant_mutation		The mutations that characterize a variant.
variant_mutation	variant_name	The name of a variant
variant_mutation	aa_mutation	"The mutation in the Nextclade format. Examples: ""S:N123Y"", ""ORF8:Y45-"""
viollier_plate		Viollier's plates containing both substance of positive and negative tests
viollier_plate	viollier_plate_name	Plate names set by Viollier. They have usually the format <day><month><year>eg<number> or <day><month><year>wuhan<number>. The name is stored as lower case.
viollier_plate	gfb_number	"The name a plate gets when it is shipped to the Genomics Facility Basel. As of 11.06.2021 full plates no longer get renamed, so a ""-"" in this column after this date just indicates a plate was sent to GFB. Another change was implemented 22.06.21 where we switch from writing into this column to sequencing_center. This column will not be updated thereafter."
viollier_plate	fgcname	"The name a plate gets when it is shipped to the Functional Genomics Center Zurich. As of 11.06.2021 full plates no longer get renamed, so a ""-"" in this column after this date just indicates a plate was sent to FGCZ. Another change was implemented 22.06.21 where we switch from writing into this column to sequencing_center. This column will not be updated thereafter."
viollier_plate	sequencing_center	"Where the plate was sent for sequencing, or whether it stayed at Viollier for in-house sequencing."
viollier_plate	left_viollier_date	The date when a plate was shipped to a genomic facility. It was introduced in October and is not set for earlier entries.
viollier_plate	has_no_extract	The plate was run on a BioRad CFX machine without producing a highly purified RNA extract.
viollier_plate	comment	Additional information as free text.
viollier_test		Information about both positive and negative tests at Viollier. It should contain all positive tests but not not all negative tests.
viollier_test	sample_number	"A unique number for every test, it is defined by the diagnostic lab."
viollier_test	ethid	A unique number defined by us. It is defined for all samples that we sequenced and more.
viollier_test	order_date	The order date
viollier_test	zip_code	The zip code of the office of the doctor.
viollier_test	city	The city of the office of the doctor.
viollier_test	canton	The canton of the office of the doctor.
viollier_test	pcr_code	A technical code set by Viollier. 4 corresponds to a positive test.
viollier_test	is_positive	Whether a test is positive it should be true if and only if pcr_code is 4.
viollier_test	sequenced_by_viollier	Whether the plate was sequenced by Viollier; Viollier started sequencing in week 15/16 of 2021.
viollier_test	comment	Additional information as free text.
viollier_test__viollier_plate		Connects the viollier_test and viollier_plate table
viollier_test__viollier_plate	sample_number	As defined in viollier_test
viollier_test__viollier_plate	viollier_plate_name	As defined in viollier_plate
viollier_test__viollier_plate	well_position	The position of the sample on the plate. It is in upper-case.
viollier_test__viollier_plate	e_gene_ct	"As of 11.06.2021 Viollier only provides a single CT value, which is written into this column. "
viollier_test__viollier_plate	rdrp_gene_ct	CT value of the RdRp gene
viollier_test__viollier_plate	seq_request	Boolean specifying whether (TRUE) a sample was included on the list of samples we sent to the sequencing centers to sequence. This column is filled in from queries in script sql/viollier_test.sql and has only been filled in for samples sent from viollier beginning on 2021-04-19.
bag_sequence_report	auftraggeber_nummer	"A unique number for every test, it is defined by the BAG. Called the 'sample_number' in other tables. Blank for non-Viollier samples unless we are able to get this number from the data source (e.g. hospital)."
bag_sequence_report	alt_seq_id	Any other identifier we have for a sequence that could help the BAG identify it.
bag_sequence_report	viro_purpose	"The reason for sampling. ""outbreak"" (e.g. outbreak investigation, or re-sampling of a possible re-infection case); ""travel_case"" (e.g. sequences from people recently arrived from the U.K.; ""surveillance"" (random sampling of regular laboratory positive samples); ""screening"" (random sampling o asymptomatic individuals, e.g. of Army recruits)"
bag_sequence_report	viro_source	"The source of the sample. ""Swiss Viollier Sequencing Consortium""; ""Armee""; hospital or laboratory information."
bag_sequence_report	viro_seq	"The group responsible for sequencing. ""ETHZ, D-BSSE"""
bag_sequence_report	viro_characterised	"How the sample was analysed. ""no"" (not analysed); ""mcPCR_501Y"", ""sangerS"", ""wgs"" (whole-genome sequencing)"
bag_sequence_report	viro_gisaid_id	GISAID identifier for the sequence. Blank for un-released (low quality) or not-yet -released samples.
bag_sequence_report	viro_genbank_id	Genbank identifier for the sequence. Blank for un-released (low quality) or not-yet -released samples.
bag_sequence_report	viro_ref_sequence_id	"Reference sequence against which mutations are called. ""MN908947.3"" (https://www.ncbi.nlm.nih.gov/nuccore/MN908947)"
bag_sequence_report	viro_relevant_mutations_to_ref_seq	"List of amino acid mutations relative to the reference sequence. For ETHZ, D-BSSE sequences these are generated with the  nextclade tool. "
bag_sequence_report	viro_label	"Variant of concern label. ""B.1.1.7""; ""501Y.V2"""
non_viollier_test		This table is used to store metadata for samples that don't come from Viollier.
ext_demography_age		"The number of people per age group (5-years brackets) and country. The numbers are estimates made by the UN for the year 2020. The data file ""Population by Age Groups - Both Sexes"" was downloaded on 27.03.2021 from https://population.un.org/wpp/Download/Standard/Population/ / https://population.un.org/wpp/Download/Files/1_Indicators%20(Standard)/EXCEL_FILES/1_Population/WPP2019_POP_F07_1_POPULATION_BY_AGE_BOTH_SEXES.xlsx."
ext_owid_global_cases	iso_country	ISO 3166-1 alpha-3 three-letter country codes standardized to only those in 'country' table
ext_owid_global_cases	country	Location as it appears in the source data.
ext_owid_global_cases	date	Date of observation.
ext_owid_global_cases	new_cases_per_million	"New confirmed cases of COVID-19 per 1,000,000 people from COVID-19 Data Repository by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University."
ext_owid_global_cases	new_deaths_per_million	"New deaths attributed to COVID-19 per 1,000,000 people from COVID-19 Data Repository by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University."
ext_owid_global_cases	new_cases	New confirmed cases of COVID-19 from COVID-19 Data Repository by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University.
ext_owid_global_cases	new_deaths	New deaths attributed to COVID-19 from COVID-19 Data Repository by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University.
ext_fso_tourist_accomodation		"For more information on this table, see the saved query to the FSO database: https://www.pxweb.bfs.admin.ch/sq/57be922e-05fb-4cad-ab19-bd823c54fb1d"
ext_fso_tourist_accomodation	iso_country	"ISO 3166-1 alpha-3 three-letter country codes standardized to those in 'country' table. Unknown countries are coded as 'XXX', e.g. 'Other European countries' in data source"
ext_fso_tourist_accomodation	country	Origin country of travellers as it appears in the data source.
ext_fso_tourist_accomodation	date_type	Timespan of date. Monthly.
ext_fso_tourist_accomodation	date	"Date of observation. The data is monthly, so dates are the first of the month."
ext_fso_tourist_accomodation	n_arrivals	Number of travellers arrived.
ext_fso_cross_border_commuters		"For more information on this table, see the saved query to the FSO database: https://www.pxweb.bfs.admin.ch/sq/1f6791fe-7f97-4466-a1e7-82314ede5277"
ext_fso_cross_border_commuters	iso_code	"ISO 3166-1 alpha-3  three-letter country codes standardized to those in 'country' table. Unknown countries are coded as 'XXX',  e.g. Andere in data source"
ext_fso_cross_border_commuters	country	Origin country of workders as it appears in data source.
ext_fso_cross_border_commuters	date_type	Timespan of date. Quarterly.
ext_fso_cross_border_commuters	wirtschaftsabteilung	Employment sector (in German).
ext_fso_cross_border_commuters	date	"Date of observation. The data is quarterly, so dates are the first of the first month of the quarter."
ext_fso_cross_border_commuters	n_permits	Number of cross-border workers with G permit.
frameshift_deletion_diagnostic	sample_name	Name given to the sequenced material (assigned by the sequencing center).
frameshift_deletion_diagnostic	start_position	Start position of deletion with respect to reference genome MN908947.
frameshift_deletion_diagnostic	length	Length of deletion (in nucleotide units).
frameshift_deletion_diagnostic	gene_region	Gene in which the deletion is found. Lara says the nucleotide position to gene mapping is taken somehow from the visualization part of V-pipe: https://github.com/cbg-ethz/V-pipe/blob/caesar_div/references/gffs/Genes_NC_045512.2.GFF3
frameshift_deletion_diagnostic	reads_all	Total number of reads covering the first position of the deletion.
frameshift_deletion_diagnostic	reads_fwd	Total number of forward reads covering the deletion.
frameshift_deletion_diagnostic	reads_rev	Total number of reverse reads covering the deletion.
frameshift_deletion_diagnostic	deletions	Number of reads supporting the deletion.
frameshift_deletion_diagnostic	freq_del	Fraction of reads supporting the deletion.
frameshift_deletion_diagnostic	freq_del_fwd	Fraction of forward reads supporting the deletion.
frameshift_deletion_diagnostic	freq_del_rev	Fraction of reverse reads supporting the deletion.
frameshift_deletion_diagnostic	deletions_fwd	Number of forward reads supporting the deletion.
frameshift_deletion_diagnostic	deletions_rev	Number of reverse reads supporting the deletion.
frameshift_deletion_diagnostic	matches_ref	Number of reads where the base matches the ref-base.
frameshift_deletion_diagnostic	pos_critical_inserts	Start positions (in reference genome coordinates) of insertions in the same gene_region that occur in > 40% of reads.
frameshift_deletion_diagnostic	pos_critical_dels	Start positions (in reference genome coordinates) of deletions in the same gene_region that occur in > 40% of reads.
frameshift_deletion_diagnostic	homopolymeric	"True if either around the start or end position of the deletion three bases are the same, which may have caused the polymerase to skip during reverse transcription of viral RNA to cDNA, e.g. AATAG."
frameshift_deletion_diagnostic	ref_base	Base in the reference genome.
frameshift_deletion_diagnostic	deletion_diagnosis	Summary of support for / explanation of the frameshift deletion. This is reported to GISAID upon submission.
frameshift_deletion_diagnostic	deletion_position	Long form summary of deletion position for report to GISAID.
swiss_wastewater_plant		Wastewater plant names.
foph_travel_quarantine		Compilation of FOPH travel quarantine orders (created by hand on 10.03.2021). Sources are copies of the quarantine law from https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/empfehlungen-fuer-reisende/liste.html and https://www.fedlex.admin.ch/eli/cc/2020/496/en.
ext_country_coordinates		"Coordinates of the centroids of various countries taken from the R package CoordinateCleaner's data, which they say they get from http://geo-locate.org. Since there are multiple entries per country, these are the average coordinates."
sequence_identifier	ethid	"This column is the key column: each ethid corresponds to a unique sample, and each sample should only be published once."
sequence_identifier	gisaid_id	"This column is filled in by the script import_gisaid_epi_isl.R, which relies on data downloads from GISAID to map between ethid an gisaid epi accession once a sequence has been accepted."
sequence_identifier	sample_name	This column is filled in by the script export_gisaid_submission.R when the GISAID submission is prepared. It only began being filled out mid-March or early-Apil 2021.
sequence_identifier	gisaid_uploaded_at	This column is filled in by the script export_gisaid_submission.R when the GISAID submission is prepared. It only began being filled out mid-Apil 2021.
sequence_identifier	ena_id	This column was filled in based on a semi-manual mapping of virus names between GISAID and ENA from SPSP in April 2021.
pangolin_lineage_alias		"If a lineage with three numbers (e.g., B.1.617.2) is about to receive a sub-lineage, it gets an alias. For example, B.1.617.2 has the alias AY. B.1.617.2.1 is then AY.1. See https://github.com/cov-lineages/pango-designation/blob/master/alias_key.json for a list of the aliases. Recombinant lineages (which have more than one parental lineage) are excluded."
ext_problematic_site		"The problematic (nucleotide) sites. Source: https://github.com/W-L/ProblematicSites_SARS-CoV2 (v5, commit 31ad9d4)"
lab_code_foph		"This table was introduced 31.08.2021 after email ""FOPH - Data flow national genomic SARS-CoV-2 surveillance program"" from SPSP. It's used by the script R/export_spsp_submission.R"
lab_code_foph	lab_code_foph	A 5-digit ID code that FOPH assigend to each diagnostics lab for electronic reporting to MSys according to the FOPH.
lab_code_foph	lab_name	Name of the lab according to the FOPH-provided list.
lab_code_foph	covv_orig_lab	Name of the lab as we submit it to SPSP.
billing_report		"This view was created using ""billing.sql"" by SN. It aims to report number of samples FROM VIOLLIER sent for sequencing, finished sequencing, and successfully submitted per sequencing center per week."
billing_report	week_finished	"Boolean. Starting with 2021 week 22, true if the number of sequence requests equals the number of samples for which we got back sequencing data."
billing_report	samples_sent	Number of positive samples with metadata in viollier_test that are on a plate recorded as having left viollier.
billing_report	samples_seq_request	Number of positive samples with metadata in viollier_test that are on a plate recorded as having left viollier AND have seq_request 'true' in viollier_test__viollier_plate.
billing_report	sequencing_batches	"All the distinct sequencing batches found among samples collected in this week, sent to this sequencing center, for which we received data back."
billing_report	sequenced	"Number of distinct samples (where a sample is a metadata entry in viollier_test) collected in this week, sequenced by this sequencing center, for which we received data back."
billing_report	submittable	Number of 'sequenced' samples where fail_reason in consensus_sequence is 'no_fail_reason'.
billing_report	gisaid_submitted_but_not_confirmed	Number of 'sequenced' samples that have been submitted (i.e. have an entry in sequence_identifier) but do not have a GISAID_EPI_ISL associated in the database yet.
billing_report	gisaid_confirmed_upload	Number of 'sequenced' samples that have been submitted (i.e. have an entry in sequence_identifier) and have a GISAID_EPI_ISL associated.
billing_report	submitted_to_GISAID	Total number of sequences submitted to GISAID; sum of 'gisaid_submitted_but_not_confirmed' and 'gisaid_confirmed_upload'.
billing_report	submitted_to_GISAID_percentage	Fraction of 'sequenced' samples submitted to GISAID; 'submitted_to_GISAID' divided by 'sequenced'.
billing_report_team_w		"This view was created by SN. It aims to report number of samples FROM TEAM W sent for sequencing, finished sequencing, and successfully submitted per sequencing center per week."
billing_report_team_w	week_finished	"Boolean. Checks that the number of sequences received from a week is a multiple of 93 (the number of samples team w puts on a plate). As of Sept 2021, team w plates always contain samples from the same week."
billing_report_team_w	samples_sent	Number of entries in non_viollier_test from team w collected in this week.
billing_report_team_w	sequencing_batches	All the distinct sequencing batches found among samples collected in this week for which we received data back.
billing_report_team_w	sequenced	"Number of samples (where a sample is a metadata entry in non_viollier_test) collected in this week, sequenced by this sequencing center, for which we received data back."
billing_report_team_w	submittable	Number of 'sequenced' samples where fail_reason in consensus_sequence is 'no_fail_reason'.
billing_report_team_w	gisaid_submitted_but_not_confirmed	Number of 'sequenced' samples that have been submitted (i.e. have an entry in sequence_identifier) but do not have a GISAID_EPI_ISL associated in the database yet.
billing_report_team_w	gisaid_confirmed_upload	Number of 'sequenced' samples that have been submitted (i.e. have an entry in sequence_identifier) and have a GISAID_EPI_ISL associated.
billing_report_team_w	submitted_to_GISAID	Total number of sequences submitted to GISAID; sum of 'gisaid_submitted_but_not_confirmed' and 'gisaid_confirmed_upload'.
billing_report_team_w	submitted_to_GISAID_percentage	Fraction of 'sequenced' samples submitted to GISAID; 'submitted_to_GISAID' divided by 'sequenced'.
test_metadata		Information about (positive and negative) COVID-19 PCR tests
test_metadata	test_id	A Swiss-wide unique identifier for a test. It has the format `<lab name>/<Laborauftragsnummer>`.
test_metadata	ethid	"A unique number defined by us. It has to be defined for all samples that we sequence. This number will be added to the ""strain"" name that we submit to public databases."
test_metadata	order_date	The date on which the lab received the order. We expect it to be the same as the sampling date.
test_metadata	canton	The canton of sampling or of the office of the doctor.
test_metadata	zip_code	The zip code of sampling or of the office of the doctor.
test_metadata	city	The city of sampling or of the office of the doctor.
test_metadata	is_positive	Whether a test is positive
test_metadata	comment	Additional information as free text
extraction_plate		Information about plates produced by the originating labs containing RNA extracts and sent to the sequencing centers
extraction_plate	extraction_plate_id	A Swiss-wide unique identifier for an extraction plate. It has the format `<lab name>/<plate name given by the lab>`.
extraction_plate	gfb_number	"The name a plate gets when it is shipped to the Genomics Facility Basel. As of 11.06.2021 full plates no longer get renamed, so a ""-"" in this column after this date just indicates a plate was sent to GFB. Another change was implemented 22.06.21 where we switch from writing into this column to sequencing_center. This column will not be updated thereafter"
extraction_plate	fgcname	"The name a plate gets when it is shipped to the Functional Genomics Center Zurich. As of 11.06.2021 full plates no longer get renamed, so a ""-"" in this column after this date just indicates a plate was sent to FGCZ. Another change was implemented 22.06.21 where we switch from writing into this column to sequencing_center. This column will not be updated thereafter."
extraction_plate	health2030	A boolean indicating whether a plate was shipped to Health 2030. Another change was implemented 22.06.21 where we switch from writing into this column to sequencing_center. This column will not be updated thereafter.
extraction_plate	left_lab_or_received_metadata_date	"Originally, it was the date when a plate was shipped to a genomic facility. It was introduced in October 2020 and is not set for earlier entries. Since June 2021, we don't necessarily know the exact date when a plate was shipped but rather insert the date when we received the metadata."
extraction_plate	sequencing_center	"Where the plate was sent for sequencing, or whether it stayed at Viollier for in-house sequencing."
extraction_plate	viollier_extract_free	"A boolean indicating whether this plate is from Viollier and ""extract free"". Extract free plates should contain the RNA material but are not purified. So far, we have not been able to generate sequences from those plates."
extraction_plate	comment	Additional information as free text
sequencing_plate		Information about plates that goes into the sequencers. They may be equivalent to the extraction plates.
sequencing_plate	sequencing_plate_id	A unique identifier for a sequencing plate.
sequencing_plate	sequencing_center	The genomic facility that sequenced the plate
sequencing_plate	sequencing_date	The date of sequencing
sequencing_plate	comment	Additional information as free text
test_plate_mapping		"A mapping between test_metadata, extraction_plate and sequencing_plate"
test_plate_mapping	test_id	As defined in test_metadata
test_plate_mapping	old_sample	"A sample that left Viollier before 07 June 2021 is considered as old. We have some wrong mappings in the old data: for example, we have multiple tests mapped to the same plate and well. For the new data (i.e., old_sample=false), we will prevent this by enforcing a uniqueness of plate-well combinations in this table."
test_plate_mapping	extraction_plate	As defined in extraction_plate
test_plate_mapping	extraction_plate_well	The well position on the extraction plate
test_plate_mapping	extraction_e_gene_ct	"As of 11.06.2021 Viollier only provides a single CT value, which is written into this column."
test_plate_mapping	extraction_rdrp_gene_ct	The RdRp gene CT
test_plate_mapping	sequencing_plate	As defined in sequencing_plate
test_plate_mapping	sequencing_plate_well	The well position on the sequencing plate
test_plate_mapping	sample_type	"The sample type. Valid values are ""clinical"", ""empty"", ""positive control"", ""negative control"", and ""wastewater""."
consensus_sequence		The generated consensus sequences
consensus_sequence	sample_name	Name given to the sequenced material (ultimately assigned by the sequencing center)
consensus_sequence	sequencing_plate	As defined in sequencing_plate
consensus_sequence	sequencing_plate_well	The well position on the sequencing plate
consensus_sequence	insert_date	The date when we first insert the sequence
consensus_sequence	update_date	The date when we update the sequence
consensus_sequence	sequencing_center	The genomic facility that did the sequencing
consensus_sequence	sequencing_batch	The V-Pipe sequencing batch name
consensus_sequence	seq_aligned	The aligned version of the sequence
consensus_sequence	seq_unaligned	The unaligned version of the sequence
consensus_sequence	ethid	ETH identifier for a sample.
consensus_sequence_meta		Information that are derived from or related to a consensus sequence. This includes QC values and lineage information.
consensus_sequence_meta	sample_name	As defined in consensus_sequence
consensus_sequence_meta	references	-
consensus_sequence_meta	coverage_mean	-
consensus_sequence_meta	r1_basequal	-
consensus_sequence_meta	r2_basequal	-
consensus_sequence_meta	rejreads	-
consensus_sequence_meta	alnreads	-
consensus_sequence_meta	insertsize	-
consensus_sequence_meta	consensus_n	-
consensus_sequence_meta	qc_result	"The summarized result. The column was formerly called ""fail_reason""."
consensus_sequence_meta	diagnostic_divergence	-
consensus_sequence_meta	diagnostic_excess_divergence	-
consensus_sequence_meta	diagnostic_number_n	-
consensus_sequence_meta	diagnostic_number_gaps	-
consensus_sequence_meta	diagnostic_clusters	-
consensus_sequence_meta	diagnostic_gaps	-
consensus_sequence_meta	diagnostic_all_snps	-
consensus_sequence_meta	diagnostic_flagging_reason	-
consensus_sequence_meta	nextclade_clade	-
consensus_sequence_meta	nextclade_qc_overall_score	-
consensus_sequence_meta	nextclade_qc_overall_status	-
consensus_sequence_meta	nextclade_total_gaps	-
consensus_sequence_meta	nextclade_total_insertions	-
consensus_sequence_meta	nextclade_total_missing	-
consensus_sequence_meta	nextclade_total_mutations	-
consensus_sequence_meta	nextclade_total_non_acgtns	-
consensus_sequence_meta	nextclade_total_pcr_primer_changes	-
consensus_sequence_meta	nextclade_alignment_start	-
consensus_sequence_meta	nextclade_alignment_end	-
consensus_sequence_meta	nextclade_alignment_score	-
consensus_sequence_meta	nextclade_qc_missing_data_score	-
consensus_sequence_meta	nextclade_qc_missing_data_status	-
consensus_sequence_meta	nextclade_qc_missing_data_total	-
consensus_sequence_meta	nextclade_qc_mixed_sites_score	-
consensus_sequence_meta	nextclade_qc_mixed_sites_status	-
consensus_sequence_meta	nextclade_qc_mixed_sites_total	-
consensus_sequence_meta	nextclade_qc_private_mutations_cutoff	-
consensus_sequence_meta	nextclade_qc_private_mutations_excess	-
consensus_sequence_meta	nextclade_qc_private_mutations_score	-
consensus_sequence_meta	nextclade_qc_private_mutations_status	-
consensus_sequence_meta	nextclade_qc_private_mutations_total	-
consensus_sequence_meta	nextclade_qc_snp_clusters_clustered	-
consensus_sequence_meta	nextclade_qc_snp_clusters_score	-
consensus_sequence_meta	nextclade_qc_snp_clusters_status	-
consensus_sequence_meta	nextclade_qc_snp_clusters_total	-
consensus_sequence_meta	nextclade_errors	-
consensus_sequence_meta	pango_lineage	-
consensus_sequence_meta	pango_probability	-
consensus_sequence_meta	pango_learn_version	-
consensus_sequence_meta	pango_status	-
consensus_sequence_meta	pango_note	-
consensus_sequence_mutation_aa		The amino acid mutations of a sequence
consensus_sequence_mutation_aa	sample_name	As defined in consensus_sequence
consensus_sequence_mutation_aa	aa_mutation	An amino acid mutation
consensus_sequence_mutation_nucleotide		The nucleotide mutations of a sequence
consensus_sequence_mutation_nucleotide	sample_name	As defined in consensus_sequence
consensus_sequence_mutation_nucleotide	nuc_mutation	A nucleotide mutation
consensus_sequence_notes		Manually curated notes about sequences
consensus_sequence_notes	sample_name	As defined in consensus_sequence
consensus_sequence_notes	release_decision	"Can be used to manually override ""qc_result"""
consensus_sequence_notes	purpose	A specific reason for sequencing
consensus_sequence_notes	comment	Additional information as free text
